review_text,statement,justification,label
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
","उपयोगकर्ता को लगता है की अक्षय कुमार की बेफिक्री और भोलापन दर्शकों को आकर्षित करती ह। 
",The user does say that the viewerswere attracted by the naive nature of Akshay kumar,TRUE
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
","अक्षय कुमार का अभिनय में कोई आकर्षण नहीं है।
",The user does feel that the feelings of Akshay Kumar was attractive which is the opposite of the statement given,FALSE
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
","दर्शक को लगता है की अक्षय कुमार की आवाज़ में एक अनूठी गहराई है।
",The user does not state anything about Akshay Kumar's voice,not-given
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
",उपयोगकर्ता को लगता है की अक्षय कुमार की अदाकारी आकर्षक है।,The user does feel that Akshay Kumar's acting was attractive,TRUE
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",फ़िल्म में किरदारों का सही से कैरेक्टर डेवलपमेंट नहीं हुआ था,"The review mentions that it would have been better had the director focused on developing characters instead of serving the interests of the producer, which means that the characters were underdeveloped. So the statement is true.",TRUE
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",पर्सनल रिलेशनशिप पर फ़िल्म काला से ज़्यादा ध्यान देने की वजह से फ़िल्म उतना अच्छा नहीं कर सकी,The review states that the director was more focused on serving the interests of the producer rather than focusing on bringing together a great movie. So the statement is true.,TRUE
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",फ़िल्म में काफ़ी प्रभावशाली और आकर्षक किरदार थे,Nothing about the characters in the film was mentioned. So any statement about them would only be an assumption.,not-given
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",निर्देशक ने कैरेक्टर डेवलपमेंट को काफ़ी गंभीरता से लिया,The statement is false because the review states that the characters were underdeveloped due to the director prioritising the producer's interests more.,FALSE
" इंटरवल के बाद जब पात्रों के खुद को पहचानने की बारी आती है , तो कहानी भटकने लगती है। सिर्फ दो घंटे से कम अवधि की फिल्म में भी दर्शक खुद को अंत तक बांध नहीं पाता। 

",फ़िल्म दर्शकों को सम्मोहित करने में असफल रही,"The review states that the story starts wandering after the interval, and that the audience are unable to keep themselves engaged.",TRUE
" इंटरवल के बाद जब पात्रों के खुद को पहचानने की बारी आती है , तो कहानी भटकने लगती है। सिर्फ दो घंटे से कम अवधि की फिल्म में भी दर्शक खुद को अंत तक बांध नहीं पाता। 

",फ़िल्म काफ़ी रोमांचक थी,"Since the audience were not able to keep themselves engaged, it is not logical to say that the movie was interesting to the audience.",FALSE
" इंटरवल के बाद जब पात्रों के खुद को पहचानने की बारी आती है , तो कहानी भटकने लगती है। सिर्फ दो घंटे से कम अवधि की फिल्म में भी दर्शक खुद को अंत तक बांध नहीं पाता। 

",फ़िल्म में इंटरेस्टिंग किरदारों की कमी थी,"While the review states that the movie leaves the viewer feeling unengaged at some point, it doesn't explicitly specify whether the movie lacked interesting characters.",not-given
" इंटरवल के बाद जब पात्रों के खुद को पहचानने की बारी आती है , तो कहानी भटकने लगती है। सिर्फ दो घंटे से कम अवधि की फिल्म में भी दर्शक खुद को अंत तक बांध नहीं पाता। 

",फ़िल्म के बीच में बहुत बड़ा ट्विस्ट आया,Nothing about the plot of the movie was specified in the review. It only specifies how it left the audience feeling.,not-given
" इंटरवल के बाद फिल्म उलझ जाती है। 
",फ़िल्म शुरुआत से ही काफ़ी कन्फ़्यूज़िंग है,"According to the review, the movie becomes confusing after the interval. So it is untrue that it is confusing from the beginning.",FALSE
" इंटरवल के बाद फिल्म उलझ जाती है। 
",फ़िल्म इंटरवल के बाद और सरल हो सकती थी,"Since the review states that the movie becomes entangled after the interval, it is only logical to say that it could have been clearer.",TRUE
" इंटरवल के बाद फिल्म उलझ जाती है। 
",फ़िल्म में टेम्पो कम था,The review doesn't anything about the movie's tempo or pacing.,not-given
" इंटरवल के बाद फिल्म उलझ जाती है। 
",फ़िल्म इतनी दिशाओं में चली गई थी कि एक समय पर बहुत कन्फ़्यूज़िंग हो गई थी,"Though the review says that the movie was confusing after the interval, it doesn't specify what elements caused the confusion. So we cannot infer with certainty that the movie had many storylines and that it why it got confusing.",not-given
" इरफान (साजन) और निम्रत कौर (इला) सहज, संयमित और भावपूर्ण अभिनय के उदाहरण हैं
","इरफान और निम्रत कौर ने अपने सहजता और भावनात्मकता से सीन्स और भी खूबसूरत हो गए हैं।
",The viewer does state that Irrfan and Nimrat Kaur have acted with their naturalness and emotionality have made the scenes even more beautiful.,TRUE
" इरफान (साजन) और निम्रत कौर (इला) सहज, संयमित और भावपूर्ण अभिनय के उदाहरण हैं
","इस फिल्म में साजन और इला के रूप में इरफान और निम्रत ने काम किया है।  
",The user does state that in the move the characters Sajan and Ila were enacted by Irrfan and Nimrat respectively,TRUE
" इरफान (साजन) और निम्रत कौर (इला) सहज, संयमित और भावपूर्ण अभिनय के उदाहरण हैं
","इरफान और निम्रत कौर का अभिनय बहुत ही अतिरंजित और अस्वाभाविक लगा।
",The viewer says that Irrfan and Nimrat Kaur's acting appeared natural which is the opposite of this statement,FALSE
" इरफान (साजन) और निम्रत कौर (इला) सहज, संयमित और भावपूर्ण अभिनय के उदाहरण हैं
","इरफान और निम्रत कौर की इस फिल्म के लिए अंतर्राष्ट्रीय पुरस्कार मिले हैं।
",The viewer does not mention anything about receiving awards in this statement,not-given
" उन्‍होंने लेखक के विजयेन्‍द्र प्रसाद की कल्‍पना को चाक्षुष उड़ान दी है
",निर्देशक लेखक विजयेंद्र प्रसाद की कल्पना को ऊपर उठाने में विफल रहे,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
" उन्‍होंने लेखक के विजयेन्‍द्र प्रसाद की कल्‍पना को चाक्षुष उड़ान दी है
",निर्देशक ने लेखक विजयेंद्र प्रसाद की कल्पना की उपेक्षा की है,The review does not indicate any neglect from the director's side,FALSE
" उन्‍होंने लेखक के विजयेन्‍द्र प्रसाद की कल्‍पना को चाक्षुष उड़ान दी है
",निर्देशक ने लेखक विजयेंद्र प्रसाद की कल्पनाशक्ति को सफलतापूर्वक निखारा है,"The statement aligns with the sentiment of the review, so the statement is true.",TRUE
" उन्‍होंने लेखक के विजयेन्‍द्र प्रसाद की कल्‍पना को चाक्षुष उड़ान दी है
",निर्देशक कल्पना को उड़ान देता है या समग्र फिल्म अनुभव पर उसका प्रभाव डालता है,This review doesn't specify the manner in which the director gives flight to the imagination or its impact on the overall film experience,not-given
" उन्होंने हमेशा ऐसी फिल्मों के दृश्यों को अपने संगीत से प्रभावपूर्ण बना दिया है
","उनका संगीत हमेशा फिल्मों के दृश्यों को और भी गहरा और प्रभावशाली बना देता है।
",The user does appriciate the music in the film. ,TRUE
" उन्होंने हमेशा ऐसी फिल्मों के दृश्यों को अपने संगीत से प्रभावपूर्ण बना दिया है
","उन्होंने अपने संगीत से हर दृश्य को एक खास प्रभाव दिया है, जिससे फिल्म का अनुभव उत्तम हो गया है। ","The user does explain that they have given each scene a unique impact with their music, which has improved the film's experience. ",TRUE
" उन्होंने हमेशा ऐसी फिल्मों के दृश्यों को अपने संगीत से प्रभावपूर्ण बना दिया है
","उनका संगीत फिल्म के दृश्यों पर कोई खास असर नहीं डालता, अक्सर यह बेअसर लगता है। ",The user does not say that their music seems ineffective but the opposite,FALSE
" उन्होंने हमेशा ऐसी फिल्मों के दृश्यों को अपने संगीत से प्रभावपूर्ण बना दिया है
",उनके संगीत की वजह से उन्हें हॉलीवुड मूवी भी ऑफर किया गया हैं। ,The user does not mention anything about anyone bing offered a hollywood movie,not-given
" एडिटिंग भी शार्प है
",दर्शक ने कहा है कि फिल्म की एडिटिंग बहुत अच्छी है,The review praises the editing of the movie in general.,TRUE
" एडिटिंग भी शार्प है
",दर्शक ने कहा है कि फिल्म की एडिटिंग बहुत खराब है,The review praises the editing of the movie in general.,FALSE
" एडिटिंग भी शार्प है
",दर्शक ने कहा है कि फिल्म के एडिटिंग के कारण सिनेमैटोग्राफी की खूबसूरती बढ़ी है,The review doesn't make any connection between editing and cinematography.,not-given
" एडिटिंग भी शार्प है
",दर्शक ने कहा है कि एडिटिंग ने फिल्म को रोमांचक बनाया है,"The review has only said the editing is sharp, but doesn't say if it is interesting or not to the general audience. ",not-given
" किरदार और कलाकार दोनों ही दर्शकों की हमदर्दी हासिल कर लेते हैं
",न तो पात्र और न ही अभिनेता दर्शकों में सहानुभूति जगाते हैं,"The statement is contratry to the review, so the statement is false.",FALSE
" किरदार और कलाकार दोनों ही दर्शकों की हमदर्दी हासिल कर लेते हैं
","केवल पात्र, अभिनेता नहीं, दर्शकों से सहानुभूति प्राप्त करते हैं",The statement is false because it only focuses on the charcters but not the other object mentioned in the statement that are actors,FALSE
" किरदार और कलाकार दोनों ही दर्शकों की हमदर्दी हासिल कर लेते हैं
",अभिनेता अपने पात्रों को सहानुभूतिपूर्ण तरीके से सफलतापूर्वक चित्रित करते हैं,The statement is true since both the actors and the audience could sympathize with the character hence the actors have done a good job.,TRUE
" किरदार और कलाकार दोनों ही दर्शकों की हमदर्दी हासिल कर लेते हैं
",पात्रों का विकास ख़राब है और वे दर्शकों की सहानुभूति जगाने में विफल रहते हैं,"The statement is contratry to the review, so the statement is false.",FALSE
" खौफ के एहसास के बाद उनके चेहरे पर आया डर इस फिल्म की खूबी है
","दर्शक को लगता है की उनके चेहरे पर दिखाई देने वाला डर इस फिल्म का एक मजबूत पहलू है
",The viewer does say that the fear displayed on their faces is a strong aspect of this film ,TRUE
" खौफ के एहसास के बाद उनके चेहरे पर आया डर इस फिल्म की खूबी है
",दर्शक को लगता है की फिल्म में डर का कोई भी एहसास नहीं था। ,The user does not say that there was no sense of fear in the film but says the opposite,FALSE
" खौफ के एहसास के बाद उनके चेहरे पर आया डर इस फिल्म की खूबी है
",दर्शक को लगता है की फिल्म की यह खासियत उसे अंतरराष्ट्रीय फिल्म समारोहों में पुरस्कार दिलाने में मददगार रही है। ,The user does not mention anything about the film helping it win awards at international film festivals.,not-given
" खौफ के एहसास के बाद उनके चेहरे पर आया डर इस फिल्म की खूबी है
",दर्शक को लगता है की इस फिल्म की सफलता ने निर्देशक को अगली फिल्म के लिए बड़े बजट का अनुमान लगाने में मदद की। ,The viewer does not mention anything about success of this film has helping the director estimate a bigger budget for the next film.,not-given
" चंदन रॉय सान्याल एक उम्दा अभिनेता हैं इसमें कोई शक नहीं है
","उपयोगकर्ता को लगता है की चंदन रॉय सान्याल की अदाकारी हर बार मन मोह लेती है
",The user does feel that Chandan Roy Sanyal's acting always captivates the users.,TRUE
" चंदन रॉय सान्याल एक उम्दा अभिनेता हैं इसमें कोई शक नहीं है
","उपयोगकर्ता को लगता है की चंदन रॉय सान्याल वास्तव में एक प्रतिभाशाली अभिनेता हैं।
",The user does say that Chandan Roy Sanyal's is truly a talented actor. ,TRUE
" चंदन रॉय सान्याल एक उम्दा अभिनेता हैं इसमें कोई शक नहीं है
",दर्शक को लगता है की चंदन रॉय सान्याल में अभिनय की कोई खासियत नहीं हैं। ,The user does not say that Chandan Roy a very average actor but says the opposite,FALSE
" चंदन रॉय सान्याल एक उम्दा अभिनेता हैं इसमें कोई शक नहीं है
",दर्शक को लगता है की चंदन रॉय सान्याल ने अपनी नवीनतम फिल्म में निर्देशन भी किया है। ,The user does not mention anything about Chandan Roy Sanyal directing his latest film,not-given
" डायनिंग हॉल के टेबल पर अपरिचित टिफिन को खोलते समय इरफान के एक-एक भाव को पढ़ा सकता है
","इरफान के चेहरे पर हर भाव साफ देखा जा सकता है जब वह डाइनिंग हॉल में टिफिन खोलते हैं।
",The user does say that every emotion on Irrfan's face is clearly visible when he opens the tiffin in the dining hall.,TRUE
" डायनिंग हॉल के टेबल पर अपरिचित टिफिन को खोलते समय इरफान के एक-एक भाव को पढ़ा सकता है
","डाइनिंग हॉल में टिफिन खोलते समय इरफान के भावों का विस्तार से चित्रण किया गया है, जिससे दर्शक उनकी अंतरंग भावनाओं को महसूस कर सकते हैं।
",The user does say that Irrfan's expressions while opening the tiffin in the dining hall are depicted in detail.,TRUE
" डायनिंग हॉल के टेबल पर अपरिचित टिफिन को खोलते समय इरफान के एक-एक भाव को पढ़ा सकता है
","इरफान के भाव जब वह टिफिन खोलते हैं बहुत ही अस्पष्ट होते हैं, जिससे दर्शकों को उनकी भावनाओं को समझने में कठिनाई होती है।
",The user mentions that Irrfan's expressions were depiced well which is the opposite to this statement,FALSE
" डायनिंग हॉल के टेबल पर अपरिचित टिफिन को खोलते समय इरफान के एक-एक भाव को पढ़ा सकता है
",इरफान के इस दृश्य की वजह से फिल्म को कई नए फिल्म्स मिले हैं। ,The user does not mention anything about Irrfan receiving new films in the statement,not-given
" डीनो फिल्म में विलेन बनकर रह गए
",डिनो फ़िल्म में एक किरदार है,"Since the review says Dino is a villain, it means Dino is a character in the film.",TRUE
" डीनो फिल्म में विलेन बनकर रह गए
",डिनो का स्वभाव काफ़ी पेचीदा है,The review clearly states that Dino is a villain.,FALSE
" डीनो फिल्म में विलेन बनकर रह गए
",डिनो (फ़िल्म में) नायक है,It is not-given whether Dino is one of the protagonists or the protagonist.,not-given
" डीनो फिल्म में विलेन बनकर रह गए
",डिनो एक खुदपरस्त किरदार है,"Though the review mentions that Dino is a villain, it doesn't mention Dino's evil qualities. So Dino is narcissistic would would only be an assumption.",not-given
" तपतपाते बाजारू मौसम में यह सुकून देती है
","इस फिल्म का अनुभव गर्मी और शोरभरे माहौल से एक आरामदायक विराम की तरह है।
",The viewer does say that experiencing this film is like a comforting break from the hot and noisy environment.,TRUE
" तपतपाते बाजारू मौसम में यह सुकून देती है
","इस फिल्म में कोई सुकून नहीं है।
",The user does say that this film is comforting and the statement is the complete opposite.,FALSE
" तपतपाते बाजारू मौसम में यह सुकून देती है
","इस फिल्म के साउंडट्रैक ने आलोचकों से उच्च प्रशंसा प्राप्त की है।
",The viewer does not mention anything about the soundtrack of this film.,not-given
" तपतपाते बाजारू मौसम में यह सुकून देती है
","इस फिल्म की समीक्षा में सभी समीक्षकों ने इसकी कहानी की प्रशंसा की है।
",The viewer does not mention anything about the critics of the film,not-given
" दर्शकों को आनंदित भी करती है, क्‍योंकि इसके पहले इस स्‍तर और पैमाने का विजुअल और वीएफएक्‍स नहीं देखा गया हैं
",इस स्केल और लेवल के विजुअल्स और वीएफएक्स पहले भी देखे जा चुके हैं,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
" दर्शकों को आनंदित भी करती है, क्‍योंकि इसके पहले इस स्‍तर और पैमाने का विजुअल और वीएफएक्‍स नहीं देखा गया हैं
",इस पैमाने और स्तर के दृश्य और वीएफएक्स दर्शकों को प्रभावित करने में विफल रहते हैं,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
" दर्शकों को आनंदित भी करती है, क्‍योंकि इसके पहले इस स्‍तर और पैमाने का विजुअल और वीएफएक्‍स नहीं देखा गया हैं
",इस पैमाने और स्तर के दृश्य और वीएफएक्स अभूतपूर्व और विस्मयकारी हैं,The statement is true because it supports the review that the visuals and VFX is something new shown to the audience which can be groundbreaking.,TRUE
" दर्शकों को आनंदित भी करती है, क्‍योंकि इसके पहले इस स्‍तर और पैमाने का विजुअल और वीएफएक्‍स नहीं देखा गया हैं
",दृश्य और वीएफएक्स फिल्म को दर्शकों के लिए सफल और आकर्षक बनाते हैं,There is no indication of whether the visuals and VFX has a huge impact on the movie experience.,not-given
" नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं
","उपयोगकर्ता को लगता है की फिल्म में नयापन है।
",The user does feel that the film has a novelty,TRUE
" नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं
",उपयोगकर्ता को लगता है की कलाकारों के बीच की जबरदस्त समझबूझ ने इस फिल्म को बहुत ही आकर्षक बना दिया है। ,The user does feel that the excellent understanding between the actors has made this film very appealing ,TRUE
" नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं
",दर्शक को लगता है की कलाकारों के बीच बिल्कुल भी तालमेल नहीं है। ,The user feels that the actors have good coordination but this statement is the complete opposite,FALSE
" नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं
",दर्शक को लगता है की इस फिल्म की वजह से कलाकारों को कई नए प्रोजेक्ट्स मिले हैं। ,The viewer doesnot talk anything about new opportunities given to the actors,not-given
" पानी में तैरते हुए ही उन्हें सारे भाव व्यक्त करने थे
","उन्होंने पानी में तैरते हुए भी अपने सभी भावों को बखूबी व्यक्त किया था।
",The viewer does feel that they expressed all their emotions beautifully while floating in water.,TRUE
" पानी में तैरते हुए ही उन्हें सारे भाव व्यक्त करने थे
","पानी में तैरते हुए उनके भावों की अभिव्यक्ति कमजोर पड़ गई थी।
",The user did not feel that their expression of emotions while floating in water weakened and said the opposite,FALSE
" पानी में तैरते हुए ही उन्हें सारे भाव व्यक्त करने थे
",इस दृश्य की शूटिंग के लिए विशेष प्रकार के कैमरे का उपयोग किया गया था। ,The user does not mention anything about special types of cameras used for shooting this scene. ,not-given
" पानी में तैरते हुए ही उन्हें सारे भाव व्यक्त करने थे
",उनके इस प्रदर्शन के लिए उन्हें कई पुरस्कार मिले। ,The user does not mention anything about them receiving any awards for this performance.,not-given
" प्यार और रोमांस के प्रति यूथ का ढुलमुल और अस्पष्ट रवैया फिल्म में अच्छी तरह से चित्रित हुआ है
","इस फिल्म में रोमांस भी ढिकया गया ह।  
",The user does state that romance is being depictyed in the film.,TRUE
" प्यार और रोमांस के प्रति यूथ का ढुलमुल और अस्पष्ट रवैया फिल्म में अच्छी तरह से चित्रित हुआ है
",इस फिल्म में यूथ के प्यार और रोमांस को अच्छे तर्रेके से प्रस्तुत किया गया ह। ,The user does state that the feelings of the youth's have been explored in this film,TRUE
" प्यार और रोमांस के प्रति यूथ का ढुलमुल और अस्पष्ट रवैया फिल्म में अच्छी तरह से चित्रित हुआ है
","फिल्म में युवाओं के भावनाओं को नजरअंदाज किया गया है।
",The user does not say that the film ignores the youth's feelings but says that it has been depicted well,FALSE
" प्यार और रोमांस के प्रति यूथ का ढुलमुल और अस्पष्ट रवैया फिल्म में अच्छी तरह से चित्रित हुआ है
",इस फिल्म में रामबीर कपूर ने हीरो का किरदार निभाया ह। ,The is nothing mentioned about Ranbir kapoor playing the hero's role in the film,not-given
" प्रीतम का संगीत कमाल का है
",इस फिल्म के लिए प्रीतम का संगीत बहुत बड़ा किरदार निभाता है,The review only talks about the quality og Preetham's music but not how it is relevant to the movie.,not-given
" प्रीतम का संगीत कमाल का है
",प्रीतम का संगीत कानों को अच्छा लगता है।,"The review talks about the quality of the music. The music is amazing, so it is something pleasant to the ears.",TRUE
" प्रीतम का संगीत कमाल का है
",प्रीतम का संगीत कानों से खून लाता है,"The review talks about the quality of the music. The music is good, so it is something pleasant to the ears and doesn't make one's ears bleed.",FALSE
" प्रीतम का संगीत कमाल का है
",प्रीतम का संगीत दर्शकों को मोहित करता है,"The review talks about the quality of the music. The music is amazing, so it is something pleasant to the ears.",TRUE
" फिल्म का गीत-संगीत नया और विषय के अनुकूल है
","फिल्म के गीत-संगीत ने विषय को और अधिक उजागर किया है।
",The user does say that the film's music and songs have highlighted the theme further.,TRUE
" फिल्म का गीत-संगीत नया और विषय के अनुकूल है
","फिल्म का संगीत विषय से मेल नहीं खाता और पुराना लगता है, जिससे यह आकर्षक नहीं लगता। ",The user does not say that the film's music does not match the theme and feels outdated but says the opposite ,FALSE
" फिल्म का गीत-संगीत नया और विषय के अनुकूल है
",इस फिल्म के गीत-संगीत को अंतरराष्ट्रीय संगीत समारोहों में पुरस्कार मिले हैं। ,The user does not mention about any awards in the statement,not-given
" फिल्म का गीत-संगीत नया और विषय के अनुकूल है
",इस फिल्म में अरिजीत सिंह ने गया ह।,The user does not mention anything about who sand the song,not-given
" फिल्म की एक और महत्वपूर्ण बात इसका कैमरा है जो लगातार मूविंग रहता है
","दर्शक को लगता है की फिल्म का लगातार चलता कैमरा दृश्यों को जीवंत बना देता है, जो देखने में बड़ा ही मजेदार है।
","The user does feel that the film's constantly moving camera makes the scenes lively, which is very enjoyable to watch. ",TRUE
" फिल्म की एक और महत्वपूर्ण बात इसका कैमरा है जो लगातार मूविंग रहता है
","दर्शक को लगता है की इस फिल्म में कैमरा का उपयोग बहुत ही कुशलता से किया गया है, जिससे कहानी में गतिशीलता आती है।","The viewer does feel that the camera is used very skillfully in this film, adding dynamism to the story. ",TRUE
" फिल्म की एक और महत्वपूर्ण बात इसका कैमरा है जो लगातार मूविंग रहता है
",उपयोगकर्ता को लगता है की फिल्म में कैमरा का कोई खास योगदान नहीं है। ,The user does feel that the camera does contribute significantly to the film and this statement is the opposite to it.. ,FALSE
" फिल्म की एक और महत्वपूर्ण बात इसका कैमरा है जो लगातार मूविंग रहता है
",उपयोगकर्ता को लगता है की फिल्म के कैमरा वर्क की आलोचना कई समीक्षकों ने की है।,The user does not mention anything about any other critics who have have criticized the film's camera work.,not-given
" फिल्‍म की एक्‍शन कोरियोग्राफी के लिए एक्‍शन डायरेक्‍टर और कलाकार दोनों ही बधाई और सराहना के पात्र हैं
",फिल्म की एक्शन कोरियोग्राफी के लिए न तो एक्शन निर्देशक और न ही कलाकार बधाई के पात्र हैं,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
" फिल्‍म की एक्‍शन कोरियोग्राफी के लिए एक्‍शन डायरेक्‍टर और कलाकार दोनों ही बधाई और सराहना के पात्र हैं
",फिल्म की एक्शन कोरियोग्राफी में एक्शन डायरेक्टर और कलाकारों ने सराहनीय काम किया है,"The statement aligns with the sentiment of the review, so the statement is true.",TRUE
" फिल्‍म की एक्‍शन कोरियोग्राफी के लिए एक्‍शन डायरेक्‍टर और कलाकार दोनों ही बधाई और सराहना के पात्र हैं
",फिल्म की एक्शन कोरियोग्राफी के लिए एक्शन डायरेक्टर बधाई और सराहना के पात्र हैं,The statement is false because the review gives credit to both the action director as well as the actors,FALSE
" फिल्‍म की एक्‍शन कोरियोग्राफी के लिए एक्‍शन डायरेक्‍टर और कलाकार दोनों ही बधाई और सराहना के पात्र हैं
",न तो एक्शन निर्देशक और न ही कलाकार ने फिल्म की एक्शन कोरियोग्राफी में प्रभावी योगदान दिया,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
" फिल्‍म के इस हिस्‍से में कलाकारों का इम्‍प्रूवाइजेशन गौरतलब है 
",फिल्म के इस भाग में अभिनेताओं द्वारा किया गया सुधार उल्लेखनीय है,"The statement aligns with the sentiment of the review, so the statement is true.",TRUE
" फिल्‍म के इस हिस्‍से में कलाकारों का इम्‍प्रूवाइजेशन गौरतलब है 
",फिल्म के इस भाग में अभिनेताओं के सुधार में रचनात्मकता का अभाव है,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
" फिल्‍म के इस हिस्‍से में कलाकारों का इम्‍प्रूवाइजेशन गौरतलब है 
",फ़िल्म के इस भाग में अभिनेताओं का सुधार नगण्य है,The statement is false because it specifies that there was no work done by the actor but the review clearly states that the actor had introduced improvisions.,FALSE
" फिल्‍म के इस हिस्‍से में कलाकारों का इम्‍प्रूवाइजेशन गौरतलब है 
",फिल्म के इस भाग में अभिनेताओं का सुधार प्रभावहीन है,"The statement is contratry to the sentiment of the review, so the statement is false.",FALSE
